"cf_id","contact_id","company_name","description","goal","pledged","outcome","backers_count","country","currency","launch_date","end_date","category_id","subcategory_id"
2371,2996,"Stevens Inc","Adaptive 24hour projection","$8,200.00","$1,546.00","canceled",37,"US","USD","2021-10-08","2021-11-27","cat2 ","subcat18"
2365,3289,"Mills Group","Advanced empowering matrix","$8,400.00","$3,251.00","canceled",64,"US","USD","2020-03-24","2021-02-22","cat3 ","subcat3 "
685,5942,"Cruz, Hall and Mason","Synergized content-based hierarchy","$8,000.00","$7,220.00","canceled",219,"US","USD","2021-06-06","2021-07-08","cat3 ","subcat3 "
875,1558,"Johnson-Gould","Exclusive needs-based adapter","$9,100.00","$6,089.00","canceled",135,"US","USD","2021-03-24","2022-01-27","cat4 ","subcat4 "
2653,2251,"Spencer-Bates","Optional responsive customer loyalty","$107,500.00","$51,814.00","canceled",1480,"US","USD","2020-11-20","2021-07-27","cat4 ","subcat4 "
1486,2906,"Jones-Watson","Switchable disintermediate moderator","$7,900.00","$1,901.00","canceled",17,"US","USD","2021-06-27","2022-01-17","cat4 ","subcat4 "
1891,2081,"Hall and Sons","Pre-emptive radical architecture","$108,800.00","$65,877.00","canceled",610,"US","USD","2020-11-22","2021-12-05","cat4 ","subcat4 "
822,1346,"Harris-Golden","Optional bandwidth-monitored middleware","$8,800.00","$1,518.00","canceled",51,"US","USD","2020-09-15","2021-02-01","cat4 ","subcat4 "
1191,4146,"Anthony-Shaw","Switchable contextually-based access","$191,300.00","$45,004.00","canceled",441,"US","USD","2021-01-30","2021-05-23","cat4 ","subcat4 "
537,2912,"Williams, Carter and Gonzalez","Cross-platform uniform hardware","$7,200.00","$5,523.00","canceled",67,"US","USD","2021-02-12","2021-09-13","cat4 ","subcat4 "
164,4400,"Obrien-Aguirre","Devolved uniform complexity","$112,100.00","$19,557.00","canceled",184,"US","USD","2021-02-15","2021-11-12","cat4 ","subcat4 "
939,1906,"Ross Group","Organized executive solution","$6,500.00","$1,065.00","canceled",32,"IT","EUR","2021-02-02","2021-03-26","cat4 ","subcat4 "
1693,2618,"Lewis, Taylor and Rivers","Front-line transitional algorithm","$136,300.00","$108,974.00","canceled",1297,"CA","CAD","2021-02-07","2022-02-10","cat4 ","subcat4 "
3123,5874,"Floyd-Sims","Cloned transitional hierarchy","$5,400.00","$903.00","canceled",10,"CA","CAD","2020-07-04","2021-02-11","cat4 ","subcat4 "
2113,2777,"Clark-Bowman","Stand-alone user-facing service-desk","$9,300.00","$3,232.00","canceled",90,"US","USD","2020-11-15","2021-02-14","cat4 ","subcat4 "
3040,2601,"Brady, Cortez and Rodriguez","Multi-lateral maximized core","$8,200.00","$1,136.00","canceled",15,"US","USD","2021-03-05","2021-07-02","cat4 ","subcat4 "
2047,5801,"Patterson-Johnson","Grass-roots directional workforce","$9,500.00","$5,973.00","canceled",87,"US","USD","2021-08-30","2021-12-01","cat4 ","subcat4 "
1255,3713,"York, Barr and Grant","Cloned bottom-line success","$3,100.00","$1,985.00","canceled",25,"US","USD","2020-12-21","2021-02-24","cat4 ","subcat4 "
2529,6191,"Valenzuela, Davidson and Castro","Multi-layered upward-trending conglomeration","$8,700.00","$3,227.00","canceled",38,"DK","DKK","2021-04-14","2021-07-10","cat4 ","subcat4 "
3081,2157,"Johns-Thomas","Realigned web-enabled functionalities","$54,300.00","$48,227.00","canceled",524,"US","USD","2020-11-25","2021-04-07","cat4 ","subcat4 "
1496,1478,"Lowery Group","Sharable motivating emulation","$5,800.00","$5,362.00","canceled",114,"US","USD","2020-12-24","2021-08-29","cat4 ","subcat4 "
2242,5318,"Smith, Mack and Williams","Self-enabling 5thgeneration paradigm","$5,600.00","$2,769.00","canceled",26,"US","USD","2020-07-04","2021-02-14","cat4 ","subcat4 "
2134,5686,"Thomas Ltd","Cross-group interactive architecture","$8,700.00","$4,414.00","canceled",56,"CH","CHF","2021-11-15","2021-12-26","cat4 ","subcat4 "
265,5585,"White-Obrien","Operative local pricing structure","$185,900.00","$56,774.00","canceled",1113,"US","USD","2021-11-26","2021-12-31","cat4 ","subcat4 "
1216,5466,"King-Morris","Proactive incremental architecture","$154,500.00","$30,215.00","canceled",296,"US","USD","2020-11-27","2021-06-29","cat4 ","subcat4 "
1627,1498,"Ball LLC","Right-sized full-range throughput","$7,600.00","$4,603.00","canceled",139,"IT","EUR","2021-11-06","2021-12-10","cat4 ","subcat4 "
398,1537,"Rodriguez-Hansen","Intuitive cohesive groupware","$8,800.00","$8,747.00","canceled",94,"US","USD","2021-09-15","2021-10-26","cat5 ","subcat5 "
2638,2225,"Tapia, Sandoval and Hurley","Cloned fresh-thinking model","$171,000.00","$84,891.00","canceled",976,"US","USD","2021-11-08","2022-01-26","cat5 ","subcat5 "
1876,4395,"Smith-Hill","Integrated holistic paradigm","$9,400.00","$5,918.00","canceled",160,"US","USD","2021-05-09","2021-06-18","cat5 ","subcat5 "
1847,5001,"Cummings-Hayes","Virtual multi-tasking core","$145,500.00","$101,987.00","canceled",2266,"US","USD","2020-07-20","2021-07-24","cat5 ","subcat5 "
565,2368,"Briggs PLC","Distributed context-sensitive flexibility","$82,800.00","$2,721.00","canceled",58,"US","USD","2021-03-23","2021-04-14","cat5 ","subcat7 "
2773,2097,"Rodriguez-Patterson","Inverse static standardization","$99,500.00","$17,879.00","canceled",215,"US","USD","2021-02-27","2021-11-23","cat5 ","subcat7 "
1294,4014,"Martinez PLC","Cloned actuating architecture","$194,900.00","$68,137.00","canceled",614,"US","USD","2020-07-13","2021-06-20","cat5 ","subcat11"
2676,4769,"Garcia Group","Persevering interactive matrix","$191,000.00","$45,831.00","canceled",595,"US","USD","2020-11-07","2021-03-15","cat5 ","subcat13"
956,1932,"Harrington-Harper","Self-enabling next generation algorithm","$155,200.00","$37,754.00","canceled",439,"GB","GBP","2020-08-13","2021-06-11","cat5 ","subcat20"
300,1786,"Harrison, Blackwell and Mendez","Synchronized 6thgeneration adapter","$8,300.00","$3,260.00","canceled",35,"US","USD","2021-07-10","2021-11-02","cat5 ","subcat20"
1151,1907,"Taylor, Johnson and Hernandez","Polarized incremental portal","$118,200.00","$92,824.00","canceled",1658,"US","USD","2021-08-29","2021-09-24","cat5 ","subcat20"
1746,5991,"Silva-Hawkins","Proactive heuristic orchestration","$7,700.00","$2,533.00","canceled",29,"US","USD","2020-09-21","2021-01-10","cat6 ","subcat10"
2893,2441,"Austin, Baker and Kelley","Fundamental grid-enabled strategy","$9,000.00","$3,496.00","canceled",57,"US","USD","2021-06-04","2021-10-29","cat6 ","subcat14"
2274,5000,"Sawyer, Horton and Williams","Triple-buffered 4thgeneration toolset","$173,900.00","$47,260.00","canceled",1890,"US","USD","2021-10-07","2021-10-13","cat7 ","subcat12"
2594,4466,"Robles Ltd","Right-sized demand-driven adapter","$191,000.00","$173,191.00","canceled",2138,"US","USD","2021-02-19","2021-06-13","cat8 ","subcat15"
503,5149,"Sanchez Ltd","Up-sized 24hour instruction set","$170,700.00","$57,250.00","canceled",1218,"US","USD","2021-05-14","2021-08-08","cat8 ","subcat15"
750,2217,"Jackson-Brown","Versatile 5thgeneration matrices","$182,800.00","$79,045.00","canceled",898,"US","USD","2021-06-28","2021-12-17","cat8 ","subcat15"
461,3521,"Erickson-Rogers","De-engineered even-keeled definition","$9,800.00","$7,608.00","canceled",75,"IT","EUR","2021-07-03","2021-07-08","cat8 ","subcat15"
147,4661,"Baldwin, Riley and Jackson","Pre-emptive tertiary standardization","$100.00","$0.00","failed",0,"CA","CAD","2020-02-13","2021-03-01","cat1 ","subcat1 "
2568,5989,"Castillo-Carey","Cross-platform solution-oriented process improvement","$142,400.00","$21,307.00","failed",296,"US","USD","2020-05-05","2021-05-30","cat1 ","subcat1 "
2228,4404,"Alexander-Williams","Triple-buffered cohesive structure","$7,200.00","$6,927.00","failed",210,"US","USD","2021-04-17","2021-07-08","cat1 ","subcat1 "
966,4840,"Huff LLC","Face-to-face clear-thinking Local Area Network","$121,500.00","$119,830.00","failed",2179,"US","USD","2021-04-10","2021-10-01","cat1 ","subcat1 "
2765,5565,"Ho-Harris","Versatile cohesive encoding","$7,300.00","$717.00","failed",10,"US","USD","2020-12-01","2021-09-28","cat1 ","subcat1 "
524,5472,"Ramsey and Sons","Grass-roots contextually-based algorithm","$3,800.00","$1,954.00","failed",49,"US","USD","2021-11-23","2022-02-05","cat1 ","subcat1 "
2991,4136,"Martin-Marshall","Configurable demand-driven matrix","$9,600.00","$6,401.00","failed",108,"IT","EUR","2020-12-19","2021-10-06","cat1 ","subcat1 "
553,4593,"Hensley Ltd","Versatile cohesive open system","$199,000.00","$142,823.00","failed",3483,"US","USD","2021-07-27","2021-11-21","cat1 ","subcat1 "
2201,3033,"Davis and Sons","Innovative human-resource migration","$188,200.00","$159,405.00","failed",5497,"US","USD","2021-05-01","2021-08-28","cat1 ","subcat1 "
1003,5799,"Jones-Riddle","Self-enabling real-time definition","$147,800.00","$15,723.00","failed",162,"US","USD","2020-10-19","2021-07-20","cat1 ","subcat1 "
2654,5200,"Thomas, Welch and Santana","Assimilated exuding toolset","$9,800.00","$7,120.00","failed",77,"US","USD","2021-01-13","2021-05-05","cat1 ","subcat1 "
2313,6020,"Williams-Santos","Open-source analyzing monitoring","$9,400.00","$6,852.00","failed",156,"CA","CAD","2021-01-15","2021-04-08","cat1 ","subcat1 "
349,4722,"Brown-George","Cross-platform tertiary array","$100.00","$5.00","failed",1,"GB","GBP","2021-04-20","2021-06-30","cat1 ","subcat1 "
2467,5103,"Hobbs, Brown and Lee","Vision-oriented systematic Graphical User Interface","$118,400.00","$49,879.00","failed",504,"AU","AUD","2021-02-07","2021-06-11","cat1 ","subcat1 "
2499,4407,"Stafford, Hess and Raymond","Optional web-enabled extranet","$2,100.00","$540.00","failed",6,"US","USD","2021-09-23","2022-01-18","cat1 ","subcat1 "
3098,3599,"Harris, Medina and Mitchell","Enhanced regional flexibility","$5,200.00","$1,583.00","failed",19,"US","USD","2021-01-02","2021-05-11","cat1 ","subcat1 "
1439,2545,"Ayala, Crawford and Taylor","Realigned 5thgeneration knowledge user","$4,000.00","$2,778.00","failed",35,"US","USD","2021-02-16","2022-01-17","cat1 ","subcat1 "
2734,5678,"Estrada Group","Multi-lateral uniform collaboration","$163,600.00","$126,628.00","failed",1229,"US","USD","2020-11-08","2021-01-22","cat1 ","subcat1 "
1447,1321,"Brown-Oliver","Synchronized cohesive encoding","$8,700.00","$1,577.00","failed",15,"US","USD","2021-11-23","2021-12-06","cat1 ","subcat1 "
1432,2712,"Johnson Group","Vision-oriented interactive solution","$7,000.00","$5,177.00","failed",67,"US","USD","2021-04-22","2022-01-08","cat1 ","subcat1 "
2156,4941,"Mcdonald, Gonzalez and Ross","Vision-oriented fresh-thinking conglomeration","$4,200.00","$2,477.00","failed",24,"US","USD","2021-10-21","2022-01-17","cat2 ","subcat2 "
2502,6202,"Best, Carr and Williams","Diverse transitional migration","$2,000.00","$1,599.00","failed",15,"US","USD","2021-01-08","2021-10-15","cat2 ","subcat2 "
2311,1673,"Farrell and Sons","Synergized 4thgeneration conglomeration","$198,500.00","$123,040.00","failed",1482,"AU","AUD","2020-08-23","2021-03-24","cat2 ","subcat2 "
2588,3229,"Brown, Palmer and Pace","Networked stable workforce","$100.00","$1.00","failed",1,"US","USD","2021-01-21","2021-07-11","cat2 ","subcat2 "
1134,5652,"Rogers, Huerta and Medina","Pre-emptive bandwidth-monitored instruction set","$5,100.00","$3,525.00","failed",86,"CA","CAD","2020-04-16","2021-03-02","cat2 ","subcat2 "
611,3717,"Long, Morgan and Mitchell","Upgradable 4thgeneration productivity","$42,600.00","$8,517.00","failed",243,"US","USD","2020-11-07","2021-06-16","cat2 ","subcat2 "
777,5075,"Hull, Baker and Martinez","Digitized reciprocal infrastructure","$1,800.00","$968.00","failed",13,"US","USD","2020-03-14","2021-03-13","cat2 ","subcat2 "
1760,3353,"Gallegos-Cobb","Object-based directional function","$39,500.00","$4,323.00","failed",57,"AU","AUD","2021-01-21","2021-12-01","cat2 ","subcat2 "
2635,6147,"Robbins and Sons","Future-proofed directional synergy","$100.00","$3.00","failed",1,"US","USD","2020-09-16","2021-02-27","cat2 ","subcat2 "
1792,6084,"Smith-Reid","Optimized actuating toolset","$4,100.00","$959.00","failed",15,"GB","GBP","2020-11-03","2021-10-17","cat2 ","subcat2 "
669,4087,"Mason-Smith","Reverse-engineered cohesive migration","$84,300.00","$26,303.00","failed",454,"US","USD","2021-08-04","2021-09-13","cat2 ","subcat2 "
2741,4548,"Lucas-Mullins","Business-focused dynamic instruction set","$8,100.00","$1,517.00","failed",29,"DK","DKK","2020-05-27","2021-03-20","cat2 ","subcat2 "
341,5842,"Young, Hart and Ryan","Decentralized demand-driven open system","$5,700.00","$903.00","failed",17,"US","USD","2021-07-29","2021-09-25","cat2 ","subcat2 "
642,3314,"Nunez Inc","Customizable intangible capability","$70,700.00","$68,602.00","failed",1072,"US","USD","2020-11-06","2021-07-21","cat2 ","subcat2 "
1237,5976,"Stewart LLC","Secured asymmetric projection","$135,600.00","$62,804.00","failed",714,"US","USD","2021-02-11","2021-05-09","cat2 ","subcat2 "
2090,1568,"Turner, Young and Collins","Self-enabling clear-thinking framework","$153,800.00","$60,342.00","failed",575,"US","USD","2020-10-28","2021-02-27","cat2 ","subcat2 "
3136,4807,"Smith-Miller","De-engineered cohesive moderator","$7,500.00","$6,924.00","failed",62,"IT","EUR","2021-04-08","2021-05-19","cat2 ","subcat2 "
2215,3054,"Dougherty, Austin and Mills","De-engineered 5thgeneration contingency","$170,600.00","$75,022.00","failed",1028,"US","USD","2020-12-11","2021-05-26","cat2 ","subcat2 "
2918,5109,"Blair Inc","Configurable bandwidth-monitored throughput","$9,900.00","$1,269.00","failed",26,"CH","CHF","2021-02-05","2021-11-04","cat2 ","subcat2 "
507,1742,"Ferguson, Murphy and Bright","Multi-lateral heuristic throughput","$192,100.00","$178,483.00","failed",4697,"US","USD","2021-04-25","2021-10-10","cat2 ","subcat2 "
3182,5734,"Murray Ltd","Decentralized 4thgeneration challenge","$6,000.00","$5,438.00","failed",77,"GB","GBP","2020-11-19","2021-10-20","cat2 ","subcat2 "
1069,1592,"Glass, Baker and Jones","Business-focused 24hour access","$117,000.00","$107,622.00","failed",1121,"US","USD","2021-05-24","2021-12-31","cat2 ","subcat2 "
864,1424,"Murphy LLC","Customer-focused non-volatile framework","$9,400.00","$968.00","failed",10,"US","USD","2021-02-21","2021-06-16","cat2 ","subcat2 "
1707,3275,"Vance-Glover","Progressive coherent secured line","$61,200.00","$60,994.00","failed",859,"CA","CAD","2021-02-27","2021-11-06","cat2 ","subcat2 "
751,3440,"Wallace LLC","Centralized regional function","$100.00","$1.00","failed",1,"CH","CHF","2021-06-17","2021-07-16","cat2 ","subcat2 "
2139,2987,"Vincent PLC","Visionary 24hour analyzer","$3,200.00","$2,950.00","failed",36,"DK","DKK","2021-08-13","2021-12-26","cat2 ","subcat2 "
1719,3329,"Hood, Perez and Meadows","Cross-group upward-trending hierarchy","$100.00","$1.00","failed",1,"US","USD","2020-04-04","2021-03-11","cat2 ","subcat2 "
1372,3826,"Mueller-Harmon","Implemented tangible approach","$7,900.00","$5,465.00","failed",67,"US","USD","2020-12-25","2021-12-16","cat2 ","subcat2 "
2247,4113,"Logan-Curtis","Enhanced optimal ability","$170,600.00","$114,523.00","failed",4405,"US","USD","2020-11-21","2021-01-19","cat2 ","subcat2 "
2408,4762,"Chan, Washington and Callahan","Optional zero administration neural-net","$7,800.00","$3,144.00","failed",92,"US","USD","2021-04-12","2021-07-02","cat2 ","subcat2 "
970,5468,"Rangel, Holt and Jones","Open-source fresh-thinking model","$6,200.00","$3,208.00","failed",44,"US","USD","2021-08-13","2021-08-31","cat2 ","subcat6 "
1239,6181,"Fitzgerald PLC","Realigned user-facing concept","$106,400.00","$39,996.00","failed",1000,"US","USD","2021-06-25","2021-08-08","cat2 ","subcat6 "
393,4181,"Frye, Hunt and Powell","Polarized incremental emulation","$10,000.00","$2,461.00","failed",37,"IT","EUR","2021-05-10","2021-08-03","cat2 ","subcat6 "
1090,2277,"Parker LLC","Customizable intermediate extranet","$137,200.00","$88,037.00","failed",1467,"US","USD","2021-12-02","2022-01-12","cat2 ","subcat6 "
3039,5066,"Palmer Inc","Universal multi-state capability","$63,200.00","$6,041.00","failed",168,"US","USD","2021-04-05","2021-07-05","cat2 ","subcat6 "
810,2269,"Webb-Smith","Advanced content-based installation","$9,300.00","$4,124.00","failed",37,"US","USD","2021-09-04","2021-11-29","cat2 ","subcat6 "
985,2184,"Ramos and Sons","Extended responsive Internet solution","$100.00","$1.00","failed",1,"GB","GBP","2021-06-11","2021-06-28","cat2 ","subcat6 "
1519,3842,"Rodriguez PLC","Grass-roots upward-trending installation","$167,500.00","$114,615.00","failed",1274,"US","USD","2020-01-19","2021-03-14","cat2 ","subcat6 "
1683,5753,"Rodriguez, Rose and Stewart","Cloned directional synergy","$28,200.00","$18,829.00","failed",200,"US","USD","2021-11-14","2022-01-02","cat2 ","subcat8 "
625,2260,"Rodriguez-Brown","Devolved foreground benchmark","$171,300.00","$100,650.00","failed",1059,"US","USD","2021-01-29","2021-06-20","cat2 ","subcat8 "
2915,3567,"Hernandez Group","Ergonomic uniform open system","$128,100.00","$40,107.00","failed",955,"DK","DKK","2020-05-16","2021-03-18","cat2 ","subcat8 "
1458,2114,"Summers, Gallegos and Stein","Mandatory mobile product","$188,100.00","$5,528.00","failed",67,"US","USD","2020-09-24","2021-07-27","cat2 ","subcat8 "
3195,3963,"Calhoun, Rogers and Long","Progressive discrete hub","$6,600.00","$3,012.00","failed",65,"US","USD","2020-04-25","2021-03-22","cat2 ","subcat8 "
3168,1302,"Guerrero, Flores and Jenkins","Networked optimal architecture","$3,400.00","$2,809.00","failed",32,"US","USD","2021-01-12","2021-12-22","cat2 ","subcat8 "
80,4594,"Guzman Group","Ameliorated disintermediate utilization","$114,300.00","$96,777.00","failed",1257,"US","USD","2021-02-10","2021-09-22","cat2 ","subcat8 "
116,5810,"Little-Marsh","Virtual attitude-oriented migration","$8,000.00","$2,758.00","failed",25,"US","USD","2021-10-07","2021-12-28","cat2 ","subcat8 "
1409,3331,"Leblanc-Pineda","Future-proofed upward-trending contingency","$2,700.00","$1,479.00","failed",25,"US","USD","2021-08-13","2021-11-21","cat2 ","subcat8 "
1635,2383,"Acosta, Mullins and Morris","Pre-emptive interactive model","$97,300.00","$62,127.00","failed",941,"US","USD","2021-05-28","2021-07-01","cat2 ","subcat8 "
1653,1419,"Schmidt-Gomez","User-centric impactful projection","$5,100.00","$2,064.00","failed",83,"US","USD","2021-06-02","2021-09-04","cat2 ","subcat8 "
726,2228,"Avila, Ford and Welch","Focused leadingedge matrix","$9,000.00","$7,227.00","failed",80,"GB","GBP","2020-05-24","2021-05-26","cat2 ","subcat8 "
1807,3012,"Harrison-Bridges","Profit-focused exuding moderator","$77,000.00","$1,930.00","failed",49,"GB","GBP","2021-03-04","2021-09-21","cat2 ","subcat8 "
1260,1563,"Smith-Smith","Total leadingedge neural-net","$189,000.00","$5,916.00","failed",64,"US","USD","2021-03-10","2021-05-26","cat2 ","subcat8 "
842,1639,"Turner, Scott and Gentry","Assimilated regional groupware","$5,600.00","$2,445.00","failed",58,"IT","EUR","2021-03-31","2021-12-04","cat2 ","subcat8 "
1699,2790,"Meyer-Avila","Multi-tiered discrete support","$10,000.00","$6,100.00","failed",191,"US","USD","2020-12-02","2021-05-28","cat2 ","subcat8 "
1169,5779,"Macias Inc","Optimized didactic intranet","$8,100.00","$6,086.00","failed",94,"US","USD","2020-09-02","2021-08-06","cat2 ","subcat8 "
1336,3928,"Sanders LLC","Multi-tiered explicit focus group","$150,600.00","$127,745.00","failed",1825,"US","USD","2021-02-01","2022-01-16","cat2 ","subcat8 "
2175,6073,"Taylor, Santiago and Flores","Polarized composite customer loyalty","$66,600.00","$37,823.00","failed",374,"US","USD","2020-10-08","2021-04-11","cat2 ","subcat8 "
378,3714,"Jones, Taylor and Moore","Down-sized system-worthy secured line","$100.00","$2.00","failed",1,"IT","EUR","2021-10-08","2021-11-03","cat2 ","subcat17"
2836,4161,"Garcia Ltd","Secured global success","$5,600.00","$5,476.00","failed",137,"DK","DKK","2020-12-13","2021-04-14","cat2 ","subcat17"
2663,2093,"Lutz Group","Enterprise-wide foreground paradigm","$2,700.00","$1,012.00","failed",12,"IT","EUR","2020-09-07","2021-07-05","cat2 ","subcat17"
2110,2785,"Daniel-Luna","Mandatory multimedia leverage","$75,000.00","$2,529.00","failed",40,"US","USD","2020-10-20","2021-01-17","cat2 ","subcat18"
647,6217,"Cole LLC","Proactive responsive emulation","$111,900.00","$85,902.00","failed",3182,"IT","EUR","2021-08-07","2022-01-13","cat2 ","subcat18"
2314,5136,"Shannon Ltd","Pre-emptive neutral capacity","$100.00","$5.00","failed",1,"US","USD","2021-01-19","2021-07-25","cat2 ","subcat18"
1805,3418,"Wilson, Wilson and Mathis","Optional asymmetric success","$100.00","$2.00","failed",1,"US","USD","2021-06-11","2021-10-26","cat2 ","subcat18"
2747,4073,"Smith Group","Right-sized secondary challenge","$106,800.00","$57,872.00","failed",752,"DK","DKK","2021-08-27","2021-12-19","cat2 ","subcat18"
3129,2623,"Young PLC","Optional maximized attitude","$79,400.00","$26,571.00","failed",1063,"US","USD","2020-05-20","2021-02-06","cat2 ","subcat18"
1291,4995,"Mosley-Gilbert","Vision-oriented logistical intranet","$2,800.00","$2,734.00","failed",38,"US","USD","2021-05-21","2021-09-23","cat3 ","subcat3 "
2164,4323,"Bruce Group","Cross-platform methodical process improvement","$5,500.00","$4,300.00","failed",75,"US","USD","2021-02-01","2021-09-05","cat3 ","subcat3 "
2424,2703,"Daniels, Rose and Tyler","Centralized global approach","$8,600.00","$5,315.00","failed",136,"US","USD","2021-03-17","2021-04-15","cat3 ","subcat3 "
2589,1431,"Tran LLC","Ameliorated fresh-thinking protocol","$9,800.00","$8,153.00","failed",132,"US","USD","2021-02-20","2021-04-10","cat3 ","subcat3 "
2185,5095,"Smith, Brown and Davis","Devolved background project","$193,400.00","$46,317.00","failed",579,"DK","DKK","2021-12-27","2022-01-14","cat3 ","subcat3 "
1522,2066,"Turner, Miller and Francis","Compatible well-modulated budgetary management","$2,100.00","$837.00","failed",19,"US","USD","2020-12-26","2021-07-03","cat3 ","subcat3 "
1384,3578,"Martin-James","Streamlined upward-trending analyzer","$180,100.00","$105,598.00","failed",2779,"AU","AUD","2021-01-11","2021-03-30","cat3 ","subcat3 "
1835,4109,"Sanchez, Cross and Savage","Sharable mobile knowledgebase","$6,000.00","$3,841.00","failed",71,"US","USD","2021-02-15","2021-05-05","cat3 ","subcat3 "
2259,2508,"Hodges, Smith and Kelly","Future-proofed 24hour model","$86,200.00","$77,355.00","failed",1758,"US","USD","2020-05-06","2021-02-09","cat3 ","subcat3 "
212,3415,"Powers, Smith and Deleon","Enhanced uniform service-desk","$100.00","$2.00","failed",1,"US","USD","2020-09-23","2021-06-06","cat3 ","subcat3 "
435,3857,"Stevenson PLC","Profound directional knowledge user","$160,400.00","$1,210.00","failed",38,"US","USD","2021-02-19","2021-07-23","cat3 ","subcat3 "
923,3850,"Robbins Group","Function-based interactive matrix","$5,500.00","$4,678.00","failed",55,"US","USD","2021-02-04","2021-03-07","cat3 ","subcat3 "
505,4495,"Wright, Hunt and Rowe","Extended eco-centric pricing structure","$81,200.00","$38,414.00","failed",452,"US","USD","2021-10-25","2021-12-16","cat3 ","subcat9 "
1213,1664,"Bradshaw, Gill and Donovan","Inverse secondary infrastructure","$158,100.00","$145,243.00","failed",1467,"GB","GBP","2020-09-07","2021-07-29","cat3 ","subcat9 "
2101,4248,"Roy PLC","Multi-channeled neutral customer loyalty","$6,000.00","$5,392.00","failed",120,"US","USD","2021-03-30","2021-05-24","cat3 ","subcat9 "
698,3096,"Hamilton, Wright and Chavez","Down-sized empowering protocol","$92,100.00","$19,246.00","failed",326,"US","USD","2021-01-14","2021-07-07","cat3 ","subcat9 "
1834,1268,"King Inc","Organic bandwidth-monitored frame","$8,200.00","$5,178.00","failed",100,"DK","DKK","2020-08-06","2021-08-30","cat3 ","subcat9 "
2556,4464,"Mason-Sanders","Networked web-enabled instruction set","$3,200.00","$3,127.00","failed",41,"US","USD","2021-04-12","2021-12-03","cat3 ","subcat9 "
2808,4102,"Flores-Lambert","Triple-buffered logistical frame","$109,000.00","$42,795.00","failed",424,"US","USD","2021-07-18","2021-10-05","cat3 ","subcat9 "
2141,3365,"Hernandez-Grimes","Profit-focused zero administration forecast","$102,900.00","$67,546.00","failed",1608,"US","USD","2021-01-07","2021-05-08","cat3 ","subcat9 "
298,4439,"Thomas-Lopez","User-centric fault-tolerant archive","$9,400.00","$6,015.00","failed",118,"US","USD","2020-12-24","2021-03-18","cat3 ","subcat9 "
2403,1244,"Rodriguez-West","Automated optimal function","$7,000.00","$1,744.00","failed",32,"US","USD","2020-09-24","2021-04-09","cat3 ","subcat9 "
1136,5487,"Martin, Martin and Solis","Assimilated uniform methodology","$6,800.00","$5,579.00","failed",186,"US","USD","2020-05-11","2021-03-29","cat3 ","subcat9 "
2310,2942,"Lucero Group","Intuitive actuating benchmark","$9,800.00","$3,349.00","failed",120,"US","USD","2020-07-14","2021-03-26","cat3 ","subcat9 "
400,2594,"Greene, Lloyd and Sims","Balanced leadingedge data-warehouse","$2,100.00","$1,768.00","failed",63,"US","USD","2021-05-01","2021-09-02","cat3 ","subcat9 "
